Corresponding Authors,Pubs Num
"Goodale, Kaitlin M",1
"Grant, David",1
"Grant, Tyler J",1
"GrudensSchuck, Nancy",1
"Han, Ye",1
"Hart, Chad",1
"Headlee, William L",1
"Horner, Harry T",1
"Houk, Robert S",1
"Hudson, Zachary J",1
"Hunt, Matthew",1
"Ibrahim, Mostafa A",1
"Ingber, David A",1
"Jeffrey, Brandon",1
"Jiang, Shan",1
"Kanakala, Surapathrudu",1
"Kang, IlHo",1
"Kasule, Faizo",1
"Kaul, Andrew",1
"Keener, Kevin M",1
"Keiser, Ashley D",1
"Kohlhase, Daniel R",1
"Koziel, Jacek A",1
"Krishnamurthy, Adarsh",1
"Lamsal, Buddhi P",1
"Laurent, Anabelle",1
"Leandro, Leonor F S",1
"Leandro, Thales D",1
"Leng, Pengfei",1
"Li, Zhongpeng",1
"Liebman, Matt",1
"Loneman, Derek",1
"Mahgoub, Umnia",1
"Masloski, Kenneth E",1
"Masonbrink, Rick E",1
"McDaniel, Marshall D",1
"McMurchie, Elizabeth K",1
"Mejias, Joffrey",1
"Mellata, Melha",1
"Mendonca, Aubrey F",1
"Meyer, Matthew R",1
"Middleton, Beth A",1
"Miller, Bradley A",1
"Moore, E Britt",1
"Moschini, GianCarlo",1
"Natukunda, Martha I",1
"Navi, Shrishail S",1
"Nelson, Jessica T",1
"Nichols, Virginia A",1
"NilsenHamilton, Marit",1
"Noon, Jason B",1
"OAoRourke, Jamie A",1
"Ordez, Raziel A",1
"Ou, Shujun",1
"Park, TaeChun",1
"Pasley, Heather R",1
"Patience, J F",1
"Peddicord, Layton",1
"Pogorelko, Gennady V",1
"Que, Long",1
"Raleve, David",1
"Rao, A Gururaj",1
"Rasmussen, Mark A",1
"Robertson, Alan P",1
"Rogovska, Natalia",1
"Ruiz, Alejo",1
"Sarkar, Anwesha",1
"Shanks, Jacqueline V",1
"Shobade, Samuel O",1
"Smith, Ryan C",1
"Surana, Priyanka",1
"Tohidi, Shayan",1
"Udall, Joshua A",1
"Uliana Trentin, Henrique",1
"Upton, Racheal N",1
"Varenhorst, Adam J",1
"Veldman, Joseph W",1
"Wang, Ping",1
"Wang, Qun",1
"Wang, Xuchu",1
"Wimalanathan, Kokulapalan",1
"Winham, Donna M",1
"Woli, Krishna P",1
"Wu, Hao",1
"Yavuz, Recep",1
"Zhang, Ge",1
"Zhu, Yunjiao",1
