,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Phillippy, Brian Q",2,0,2,1,0,0,0,0
"RellanAlvarez, Ruben",14,11,3,3,0,0,0,0
"Robertson, Dominique",1,0,1,2,0,0,0,0
"Schardong, Igor Sulzbacher",4,1,3,3,0,0,0,0
"Sit, Tim L",27,11,16,9,3,3,0,0
"Smith, Stephen C",12,6,6,7,0,0,0,0
"Stalker, H Thomas",15,14,1,2,4,4,0,0
"Taniguchi, Masahiko",65,0,65,1,0,0,0,0
"Truong, VanDen",13,6,7,3,0,0,0,0
"Wagner, Maggie R",17,5,12,6,2,0,2,1
"Wang, GuanFeng",9,0,9,3,0,0,0,0
"Whetten, Ross W",30,12,18,10,1,1,0,0
"Whitehill, Justin G A",9,8,1,2,3,3,0,0
"Williamson, John D",4,2,2,1,0,0,0,0
"Worthington, Margaret",7,2,5,5,0,0,0,0
"Yang, Qin",13,1,12,4,0,0,0,0
"da Silva Pereira, Guilherme",14,4,10,1,0,0,0,0
"de Sanctis, Jose HS",2,0,2,4,0,0,0,0
"ilip, R Panthee",2,2,0,0,0,0,0,0
