,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Olson, Eric L",31,29,2,2,5,5,0,0
"Osteryoung, Katherine W",26,14,12,6,3,2,1,1
"Sabbatini, Paolo",52,49,3,1,3,3,0,0
"ShacharHill, Yair",30,14,16,5,0,0,0,0
"HoyosVillegas, Valerio",18,13,5,2,0,0,0,0
"Iezzoni, Amy F",25,18,7,7,1,1,0,0
"Kerwin, Rachel E",8,6,2,1,1,0,1,1
"Miles, Timothy David",55,39,16,7,2,2,0,0
"Niederhuth, Chad E",20,7,13,10,2,1,1,2
"Patterson, Eric L",53,43,10,8,4,4,0,0
"Raju, Sunil Kumar Kenchanmane",18,10,8,5,0,0,0,0
"Sprague, Christy L",30,26,4,5,2,2,0,0
"Thomashow, Michael F",11,6,5,6,2,1,1,1
"de los Campos, Gustavo",89,78,11,5,0,0,0,0
"Ding, ShiYou",24,20,4,2,0,0,0,0
"Ducat, Daniel C",46,30,16,5,5,4,1,1
"Friesen, Maren L",46,34,12,6,1,1,0,0
"Hancock, James F",26,24,2,3,0,0,0,0
"HoffmannBenning, Susanne",15,10,5,2,0,0,0,0
"Hollender, Courtney A",15,10,5,7,2,2,0,0
"Hsu, Polly Yingshan",10,9,1,2,2,2,0,0
"Saha, Debalina",15,7,8,4,1,1,0,0
"Trail, Frances",31,26,5,7,4,4,0,0
"Bao, Yan",10,6,4,4,0,0,0,0
"Bonito, Gregory",113,74,39,14,4,4,0,0
"Haus, Miranda J",7,0,7,8,3,3,0,0
"Kravchenko, Alexandra N",82,70,12,7,9,8,1,1
"Lindell, Catherine A",32,32,0,0,1,1,0,0
"Lowry, David B",60,38,22,20,3,3,0,0
"Nair, Muraleedharan G",21,19,2,2,1,1,0,0
"Ohlrogge, John B",17,11,6,4,0,0,0,0
"Pan, Vincent S",10,3,7,4,0,0,0,0
"Quintanilla, Marisol",15,15,0,0,0,0,0,0
"Rhee, Seung Yon",21,11,10,10,4,4,0,0
"Skirycz, Aleksandra",15,12,3,4,1,1,0,0
"Wang, Peipei",17,1,16,8,0,0,0,0
"Wani, Shabir H",19,15,4,3,0,0,0,0
"Warner, Ryan M",12,9,3,1,3,3,0,0
"Zettlemoyer, Meredith A",8,4,4,1,0,0,0,0
"van Nocker, Steve",32,29,3,2,0,0,0,0
"Chaudhari, Sushila",14,10,4,3,1,1,0,0
"Conner, Jeffrey K",26,19,7,6,4,3,1,1
"Devkota, Pratima",9,7,2,1,0,0,0,0
"Gilbert, Kadeem J",14,11,3,6,1,1,0,0
"Graham, Kelsey K",12,8,4,5,1,1,0,0
"LopezCruz, Marco A",17,5,12,5,0,0,0,0
"Santiago, James P",9,1,8,9,0,0,0,0
"Szendrei, Zsofia",40,31,9,8,4,4,0,0
"Vermaas, Josh V",73,41,32,9,1,1,0,0
"Aung, Kyaw",5,0,5,2,0,0,0,0
"Barry, Cornelius S",16,6,10,8,5,1,4,3
"Benucci, Gian Maria Niccolo",41,11,30,10,0,0,0,0
"Bird, George W",5,5,0,0,0,0,0,0
"BriscoMcCann, Elizabeth I",7,0,7,4,0,0,0,0
"Brock, Jordan R",7,1,6,5,0,0,0,0
"Brudvig, Lars A",75,59,16,4,3,2,1,1
"Cheng, Yu Ti",38,35,3,1,1,1,0,0
"Childs, Kevin L",43,19,24,24,2,1,1,1
"Christie, Kyle",4,1,3,1,0,0,0,0
"DelBem, LuizEduardo",2,1,1,1,0,0,0,0
"EspinozaCorral, Roberto",12,1,11,4,0,0,0,0
"Fisher, Nicholas",19,7,12,4,0,0,0,0
"Glassmire, Andrea E",6,2,4,3,1,1,0,0
"Harlan, Blair R",4,0,4,2,0,0,0,0
"Hauri, Kayleigh C",14,6,8,6,0,0,0,0
"Hodge, David B",42,39,3,1,0,0,0,0
"Hoh, Donghee",11,2,9,7,0,0,0,0
"Holste, Ellen K",3,3,0,0,0,0,0,0
