,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Moral, Juan",28,10,18,3,0,0,0,0
"Rose, Alan B",6,5,1,1,0,0,0,0
"Slupsky, Carolyn M",117,110,7,6,3,3,0,0
"Southwest University; University of Western Australia; University of California, Davis)",0,0,0,0,0,0,0,0
"Stergiopoulos, Ioannis",33,25,8,5,1,1,0,0
"Teng, Chong",6,4,2,1,0,0,0,0
"Wong, Christopher Y S",21,5,16,13,0,0,0,0
"Worthy, Samantha J",16,10,6,3,0,0,0,0
"Cass, Bodil N",10,5,5,1,0,0,0,0
"Cook, Douglas R",32,25,7,5,3,2,1,1
"Crisosto, Carlos H",28,20,8,4,2,2,0,0
"DiTomaso, Joseph M",10,9,1,2,0,0,0,0
"Earles, J Mason",41,14,27,17,0,0,0,0
"Epstein, Lynn",21,11,10,11,1,1,0,0
"Etchells, J Peter",4,0,4,1,0,0,0,0
"Gerhart, Laci",4,4,0,0,0,0,0,0
"Henry, Isabelle M",42,7,35,5,4,0,4,1
"Hodson, Amanda Kaye",16,10,6,5,0,0,0,0
"Inci, Deniz",8,0,8,3,0,0,0,0
"Lazcano, Cristina",22,19,3,4,0,0,0,0
"Leal, Walter S",49,49,0,0,1,1,0,0
"Letts, James A",14,8,6,1,1,1,0,0
"LoPresti, Eric F",16,9,7,1,0,0,0,0
"Maldonado, Maria",10,3,7,2,1,1,0,0
"Marrano, Annarita",14,4,10,4,0,0,0,0
"Mesgaran, Mohsen B",31,22,9,7,1,1,0,0
"Munis, Muhammad Farooq Hussain",7,7,0,0,1,0,1,1
"Nandi, Somen",52,4,48,4,6,2,4,2
"Page, Maureen L",9,7,2,2,0,0,0,0
"Penmetsa, R Varma",19,13,6,4,0,0,0,0
"Potter, Daniel",42,42,0,0,2,2,0,0
"Reid, Michael S",13,1,12,3,0,0,0,0
"Reitz, Nicholas F",6,0,6,2,0,0,0,0
"Runcie, Daniel E",51,31,20,18,5,4,1,1
"Shih, Patrick M",46,42,4,3,1,1,0,0
"St Clair, Dina A",7,4,3,1,0,0,0,0
