,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Katagiri, Fumiaki",27,16,11,6,2,1,1,1
"Samac, Deborah A",41,21,20,12,0,0,0,0
"Schilling, Jonathan S",60,44,16,5,5,3,2,2
"Wells, M Scott",33,20,13,5,0,0,0,0
"Young, Nevin D",30,10,20,10,2,0,2,2
"Alexander, Jonathan R",7,5,2,1,0,0,0,0
"Andow, David A",49,46,3,1,5,5,0,0
"BreuillinSessoms, Florence",10,0,10,4,0,0,0,0
"Clark, Matthew D",41,19,22,10,0,0,0,0
"David, Aaron S",8,3,5,2,0,0,0,0
"Feng, Xue",46,31,15,7,5,5,0,0
"Fernandez, Christopher W",18,3,15,6,0,0,0,0
"Grossenbacher, Dena L",7,6,1,2,0,0,0,0
"Grossman, Jake J",15,4,11,6,0,0,0,0
"Grossman, Julie M",36,24,12,8,6,6,0,0
"Hamala, Tuomas",8,2,6,4,0,0,0,0
"Hirsch, Cory D",34,6,28,13,4,4,0,0
"Jin, Yue",56,14,42,8,0,0,0,0
"Jungers, Jacob M",60,37,23,19,4,4,0,0
"Kistler, Harold Corby",21,11,10,5,0,0,0,0
"Malvick, Dean K",38,37,1,1,1,1,0,0
"McCormack, M Luke",37,21,16,6,0,0,0,0
"Meireles, Jose Eduardo",11,1,10,6,1,0,1,1
"Petrella, Dominic P",11,0,11,4,0,0,0,0
"Potkay, Aaron",7,2,5,3,0,0,0,0
"Powers, Jennifer S",124,109,15,8,9,8,1,1
"Reich, Peter B",385,300,85,18,10,9,1,1
"Ribeiro, Arthur Vieira",25,3,22,1,0,0,0,0
"Salomon, Christine E",16,16,0,0,1,1,0,0
"Schuster, Michael J",18,6,12,1,0,0,0,0
"Shurson, G C",47,47,0,0,1,1,0,0
"Tiffin, Peter",43,14,29,11,0,0,0,0
"Watkins, Eric",62,38,24,10,5,5,0,0
"Weiblen, George D",49,45,4,3,1,1,0,0
"Wells, Samantha",11,7,4,5,1,1,0,0
"Wiering, Nicholas P",5,3,2,3,0,0,0,0
"Wilkening, Jean V",6,2,4,1,0,0,0,0
"Yang, Ce",43,35,8,5,3,3,0,0
"Yang, Fei",19,18,1,1,0,0,0,0
"Adhikari, Anil",4,1,3,3,0,0,0,0
"Ahmad, Ilyas",6,6,0,0,0,0,0,0
"Anilkumar, C",5,5,0,0,0,0,0,0
"Bradeen, James M",13,12,1,1,2,2,0,0
"Bratsch, Sara A",8,7,1,1,1,1,0,0
"Brault, Charlotte",6,0,6,2,0,0,0,0
"Burkness, Eric C",43,26,17,5,0,0,0,0
"Cohen, Jerry D",32,11,21,6,5,4,1,1
"Curzon, Miranda T",5,5,0,0,0,0,0,0
"Denison, R Ford",21,17,4,6,0,0,0,0
"DillMacky, Ruth",39,24,15,12,0,0,0,0
"DukowicSchulze, Stefanie",17,2,15,5,0,0,0,0
"Edae, Erena A",10,0,10,6,0,0,0,0
"Ekar, Jill M",2,1,1,1,0,0,0,0
"Essarioui, Adil",4,0,4,1,0,0,0,0
"Figueroa, Melania",31,14,17,5,2,2,0,0
"Garcia y Garcia, Axel",26,18,8,5,0,0,0,0
"Gardner, Gary",7,2,5,7,0,0,0,0
