,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Illinois,0.0,0.015915119363395226,0.015030946065428824,0.014146772767462422,0.02475685234305924,0.0,0.01856763925729443,0.010610079575596816,0.034482758620689655,0.026525198938992044,0.00618921308576481,0.0,0.0,0.09106984969053934,0.032714412024756855,0.040671971706454466,0.00618921308576481,0.050397877984084884,0.0,0.0,0.0008841732979664014,0.06542882404951371,0.04774535809018567,0.004420866489832007,0.002652519893899204,0.07692307692307693,0.00618921308576481,0.002652519893899204,0.0035366931918656055,0.04862953138815208,0.009725906277630416,0.005305039787798408,0.026525198938992044,0.007957559681697613,0.007957559681697613,0.07161803713527852,0.0,0.0,0.01237842617152962,0.03801945181255526,0.022988505747126436,0.030061892130857647,0.005305039787798408,0.016799292661361626,0.0,0.0,0.010610079575596816,0.019451812555260833,0.007073386383731211,0.060123784261715295,0.0017683465959328027
IowaState,0.0,0.014124293785310734,0.01059322033898305,0.009887005649717515,0.018361581920903956,0.0007062146892655367,0.012711864406779662,0.012005649717514125,0.02824858757062147,0.05155367231638418,0.0,0.0,0.07274011299435028,0.0,0.03742937853107345,0.03389830508474576,0.00423728813559322,0.06497175141242938,0.0007062146892655367,0.005649717514124294,0.002824858757062147,0.06779661016949153,0.07627118644067797,0.031073446327683617,0.0035310734463276836,0.0713276836158192,0.0,0.00211864406779661,0.0014124293785310734,0.038135593220338986,0.007062146892655367,0.0007062146892655367,0.012711864406779662,0.007062146892655367,0.006355932203389831,0.059322033898305086,0.0007062146892655367,0.002824858757062147,0.007768361581920904,0.019067796610169493,0.015536723163841809,0.04943502824858757,0.00423728813559322,0.0211864406779661,0.00423728813559322,0.0,0.01059322033898305,0.025423728813559324,0.00423728813559322,0.067090395480226,0.00211864406779661
KState,0.0,0.0008576329331046312,0.002572898799313894,0.015437392795883362,0.05231560891938251,0.0008576329331046312,0.009433962264150943,0.00686106346483705,0.0660377358490566,0.022298456260720412,0.008576329331046312,0.0008576329331046312,0.03173241852487135,0.045454545454545456,0.0,0.006003430531732418,0.0017152658662092624,0.018867924528301886,0.0,0.02144082332761578,0.002572898799313894,0.04373927958833619,0.07461406518010291,0.012006861063464836,0.018010291595197257,0.08747855917667238,0.0008576329331046312,0.0017152658662092624,0.007718696397941681,0.0411663807890223,0.018867924528301886,0.04888507718696398,0.0137221269296741,0.010291595197255575,0.00686106346483705,0.07547169811320754,0.0,0.002572898799313894,0.024871355060034305,0.03687821612349914,0.022298456260720412,0.04030874785591767,0.007718696397941681,0.005145797598627788,0.003430531732418525,0.0,0.005145797598627788,0.038593481989708404,0.0008576329331046312,0.029159519725557463,0.007718696397941681
Kentucky,0.0,0.008298755186721992,0.029045643153526972,0.029045643153526972,0.012448132780082987,0.002074688796680498,0.006224066390041493,0.004149377593360996,0.029045643153526972,0.02074688796680498,0.0,0.01037344398340249,0.0954356846473029,0.0995850622406639,0.014522821576763486,0.0,0.01037344398340249,0.01037344398340249,0.0,0.012448132780082987,0.006224066390041493,0.07261410788381743,0.04564315352697095,0.01867219917012448,0.006224066390041493,0.029045643153526972,0.0,0.0,0.002074688796680498,0.04979253112033195,0.01037344398340249,0.004149377593360996,0.04771784232365145,0.006224066390041493,0.014522821576763486,0.058091286307053944,0.0,0.0,0.01867219917012448,0.02074688796680498,0.043568464730290454,0.008298755186721992,0.004149377593360996,0.03941908713692946,0.0,0.0,0.024896265560165973,0.014522821576763486,0.0,0.058091286307053944,0.002074688796680498
LouisianaState,0.0,0.017241379310344827,0.04310344827586207,0.0,0.008620689655172414,0.0,0.02586206896551724,0.0,0.008620689655172414,0.0,0.0,0.0,0.0603448275862069,0.05172413793103448,0.017241379310344827,0.04310344827586207,0.0,0.034482758620689655,0.0,0.0,0.0,0.08620689655172414,0.034482758620689655,0.0603448275862069,0.0,0.008620689655172414,0.017241379310344827,0.0,0.0,0.05172413793103448,0.017241379310344827,0.008620689655172414,0.017241379310344827,0.0,0.07758620689655173,0.0603448275862069,0.0,0.0,0.034482758620689655,0.02586206896551724,0.034482758620689655,0.0603448275862069,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.034482758620689655,0.0,0.04310344827586207,0.0
MU,0.0,0.021310181531176007,0.0055248618784530384,0.007892659826361484,0.014206787687450671,0.0015785319652722968,0.011838989739542225,0.037884767166535126,0.03235990528808208,0.07971586424625099,0.0007892659826361484,0.0007892659826361484,0.04498816101026046,0.07261247040252565,0.017363851617995266,0.003946329913180742,0.0031570639305445935,0.0,0.0,0.0031570639305445935,0.003946329913180742,0.07576953433307025,0.035516969218626675,0.013417521704814523,0.0031570639305445935,0.05761641673243883,0.0031570639305445935,0.0,0.0,0.04104183109707971,0.0,0.017363851617995266,0.007892659826361484,0.007103393843725336,0.010260457774269928,0.04498816101026046,0.003946329913180742,0.007103393843725336,0.004735595895816891,0.02367797947908445,0.08760852407261246,0.041831097079715863,0.007103393843725336,0.03393843725335438,0.0,0.0031570639305445935,0.026835043409629045,0.022099447513812154,0.004735595895816891,0.05288082083662194,0.0
Maine,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.1724137931034483,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.1724137931034483,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.13793103448275862
Maryland,0.0,0.025179856115107913,0.0,0.046762589928057555,0.014388489208633094,0.014388489208633094,0.01079136690647482,0.050359712230215826,0.03237410071942446,0.02158273381294964,0.01079136690647482,0.0035971223021582736,0.0,0.02877697841726619,0.08992805755395683,0.02158273381294964,0.0,0.014388489208633094,0.0,0.0,0.014388489208633094,0.06474820143884892,0.07194244604316546,0.0035971223021582736,0.0,0.01079136690647482,0.007194244604316547,0.0035971223021582736,0.0,0.0539568345323741,0.01079136690647482,0.007194244604316547,0.01079136690647482,0.014388489208633094,0.02158273381294964,0.046762589928057555,0.0,0.007194244604316547,0.014388489208633094,0.03597122302158273,0.01079136690647482,0.08992805755395683,0.007194244604316547,0.014388489208633094,0.0035971223021582736,0.0,0.02877697841726619,0.039568345323741004,0.0,0.017985611510791366,0.0035971223021582736
Massachusetts,0.0,0.024242424242424242,0.024242424242424242,0.01818181818181818,0.012121212121212121,0.0,0.012121212121212121,0.024242424242424242,0.048484848484848485,0.05454545454545454,0.0,0.0,0.006060606060606061,0.024242424242424242,0.01818181818181818,0.01818181818181818,0.0,0.030303030303030304,0.0,0.024242424242424242,0.0,0.07272727272727272,0.04242424242424243,0.006060606060606061,0.024242424242424242,0.0,0.006060606060606061,0.006060606060606061,0.0,0.01818181818181818,0.048484848484848485,0.006060606060606061,0.0,0.048484848484848485,0.024242424242424242,0.030303030303030304,0.0,0.048484848484848485,0.0,0.03636363636363636,0.024242424242424242,0.030303030303030304,0.06060606060606061,0.006060606060606061,0.0,0.006060606060606061,0.012121212121212121,0.04242424242424243,0.0,0.048484848484848485,0.012121212121212121
Michigan,0.0,0.024349750968456003,0.009407858328721638,0.014388489208633094,0.024903154399557276,0.002767017155506364,0.01162147205312673,0.006087437742114001,0.055893746541228556,0.053126729385722195,0.004427227448810182,0.0011068068622025456,0.04095185390149419,0.053126729385722195,0.028223574986164915,0.01936912008854455,0.005534034311012728,0.053126729385722195,0.0011068068622025456,0.00996126175982291,0.006640841173215274,0.0,0.058107360265633644,0.004427227448810182,0.003320420586607637,0.02324294410625346,0.005534034311012728,0.002213613724405091,0.0011068068622025456,0.053126729385722195,0.011068068622025456,0.006640841173215274,0.01992252351964582,0.01162147205312673,0.008854454897620365,0.05368013281682346,0.0,0.006087437742114001,0.012174875484228001,0.01936912008854455,0.016602102933038185,0.04316546762589928,0.009407858328721638,0.012174875484228001,0.0011068068622025456,0.0016602102933038186,0.016602102933038185,0.05644714997232983,0.0005534034311012728,0.11068068622025456,0.004980630879911455
