school,n_nodes,n_edges,total_internal_weight,density,avg_degree,avg_weighted_degree,avg_clustering,largest_component_ratio
Mississippi,52,111,513.0,0.083710407239819,4.269230769230769,19.73076923076923,0.29887100079407775,0.7692307692307693
MontanaState,42,74,244.0,0.0859465737514518,3.5238095238095237,11.619047619047619,0.3551381158524015,0.8571428571428571
MU,88,304,1470.0,0.0794148380355277,6.909090909090909,33.40909090909091,0.42758243574273264,0.8863636363636364
Nebraska,109,395,1373.0,0.06710839279646619,7.247706422018348,25.192660550458715,0.3855315199086154,0.8990825688073395
Nevada,18,20,109.0,0.13071895424836602,2.2222222222222223,12.11111111111111,0.3796296296296296,0.6111111111111112
NewHampshire,9,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
NewMexico,30,69,280.0,0.15862068965517243,4.6,18.666666666666668,0.4307370407370407,0.8333333333333334
NorthCarolina,159,418,1477.0,0.03327760528620333,5.2578616352201255,18.57861635220126,0.31567799730710505,0.8930817610062893
NorthDakota,66,198,796.0,0.09230769230769231,6.0,24.12121212121212,0.37754864583249037,0.803030303030303
OhioState,59,64,213.0,0.037405026300409115,2.169491525423729,7.220338983050848,0.19443099273607747,0.6101694915254238
OKState,50,66,262.0,0.053877551020408164,2.64,10.48,0.2956349206349207,0.7
Oregon,71,75,209.0,0.030181086519114688,2.112676056338028,5.887323943661972,0.19713838587078023,0.6901408450704225
PennState,74,94,309.0,0.03480192521288412,2.5405405405405403,8.35135135135135,0.27459342459342456,0.6216216216216216
Purdue,117,238,706.0,0.03507220748600059,4.068376068376068,12.068376068376068,0.2786145478453171,0.8974358974358975
RhodeIsland,5,1,98.0,0.1,0.4,39.2,0.0,0.4
Rutgers,41,55,182.0,0.06707317073170732,2.682926829268293,8.878048780487806,0.21252419667053818,0.7804878048780488
SouthDakota,31,52,183.0,0.11182795698924732,3.3548387096774195,11.806451612903226,0.21036866359447007,0.7419354838709677
TexasA&M,121,296,1077.0,0.04077134986225895,4.892561983471074,17.801652892561982,0.31068408830492095,0.8512396694214877
UArk,77,189,787.0,0.0645933014354067,4.909090909090909,20.441558441558442,0.5099558450207802,0.8961038961038961
UCDavis,215,526,1519.0,0.02286459465333623,4.8930232558139535,14.130232558139534,0.32112429438226836,0.8511627906976744
UCRiver,81,113,370.0,0.03487654320987654,2.7901234567901234,9.135802469135802,0.22864625086847312,0.7283950617283951
UtahState,39,36,157.0,0.048582995951417005,1.8461538461538463,8.051282051282051,0.2255189255189255,0.28205128205128205
UTenn,76,199,691.0,0.06982456140350878,5.2368421052631575,18.18421052631579,0.4682053542704106,0.8947368421052632
Vermont,16,11,33.0,0.09166666666666666,1.375,4.125,0.33333333333333337,0.3125
VirginiaTech,82,144,377.0,0.04336043360433604,3.5121951219512195,9.195121951219512,0.28405835357054876,0.8536585365853658
WashState,139,482,1423.0,0.05025544781566051,6.9352517985611515,20.47482014388489,0.31184125775563104,0.8992805755395683
WestVirginia,17,9,16.0,0.0661764705882353,1.0588235294117647,1.8823529411764706,0.0,0.4117647058823529
Wisconsin,137,271,995.0,0.029089738085015027,3.9562043795620436,14.525547445255475,0.3706224027391911,0.8686131386861314
Wyoming,15,12,37.0,0.11428571428571428,1.6,4.933333333333334,0.19111111111111112,0.6
