,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Hawaii,1,3,0,1,4,6,2,0,5,13,996,3,7,0,10,0,0,1,0,3,0,8,9,0,1,1,2,2,3,8,1,7,5,4,1,9,0,1,0,0,1,24,1,17,0,1,3,1,1,7,0
Idaho,0,2,0,12,1,0,4,1,5,1,3,403,0,0,1,5,0,1,0,1,0,2,5,0,4,1,0,0,1,2,4,0,0,9,2,4,0,0,3,2,3,4,1,0,0,0,4,19,0,7,0
Illinois,0,18,17,16,28,0,21,12,39,30,7,0,3591,103,37,46,7,57,0,0,1,74,54,5,3,87,7,3,4,55,11,6,30,9,9,81,0,0,14,43,26,34,6,19,0,0,12,22,8,68,2
IowaState,0,20,15,14,26,1,18,17,40,73,0,0,103,3484,53,48,6,92,1,8,4,96,108,44,5,101,0,3,2,54,10,1,18,10,9,84,1,4,11,27,22,70,6,30,6,0,15,36,6,95,3
KState,0,1,3,18,61,1,11,8,77,26,10,1,37,53,2566,7,2,22,0,25,3,51,87,14,21,102,1,2,9,48,22,57,16,12,8,88,0,3,29,43,26,47,9,6,4,0,6,45,1,34,9
Kentucky,0,4,14,14,6,1,3,2,14,10,0,5,46,48,7,1453,5,5,0,6,3,35,22,9,3,14,0,0,1,24,5,2,23,3,7,28,0,0,9,10,21,4,2,19,0,0,12,7,0,28,1
LouisianaState,0,2,5,0,1,0,3,0,1,0,0,0,7,6,2,5,376,4,0,0,0,10,4,7,0,1,2,0,0,6,2,1,2,0,9,7,0,0,4,3,4,7,1,1,0,0,0,4,0,5,0
MU,0,27,7,10,18,2,15,48,41,101,1,1,57,92,22,5,4,2607,0,4,5,96,45,17,4,73,4,0,0,52,0,22,10,9,13,57,5,9,6,30,111,53,9,43,0,4,34,28,6,67,0
Maine,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,279,0,0,2,5,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,4
Maryland,0,7,0,13,4,4,3,14,9,6,3,1,0,8,25,6,0,4,0,1136,4,18,20,1,0,3,2,1,0,15,3,2,3,4,6,13,0,2,4,10,3,25,2,4,1,0,8,11,0,5,1
