school,EdgesPerNode,assortativity_unweighted,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma_small_world_index,omega_small_world_index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering
IowaState,0.3644067796610169,0.13906079359301007,0.01643281389044101,0.10038337368845843,0.43197278911564624,0.0423728813559322,3.3098660328749214,-0.042369882336136366,0.3,0.2629930753668734,0.441,0.015404616507731438,0.6571428571428571
Kentucky,1.2075471698113207,-0.14583333333333334,0.18850991775519924,0.3229859239293202,0.5347847847847848,0.1320754716981132,3.895004525086777,0.25422241213069463,0.1,0.08383290918031618,0.32666666666666666,0.0008537414965986396,0.8
KState,3.8282828282828283,-0.15686896479952855,0.3369717584003446,0.5965148088230582,0.4766382603585072,0.7676767676767676,4.83665536378087,-0.18877340896546468,0.3,0.2421792479429849,0.4642105263157895,0.11632921077013454,0.5619047619047619
LouisianaState,1.1379310344827587,-0.08783642812434807,0.22298850574712664,0.3949096880131363,0.5305263157894736,0.1724137931034483,4.190321952104889,-0.12648809523809534,0.02,0.002715328975523799,0.2538129496402878,0.0,0.0
Maine,0.9,-0.453416149068323,0.38333333333333336,0.14333333333333334,0.49107142857142855,0.3,0.7818181818181817,0.6843939393939396,0.0,5.812385956039157e-14,0.0,0.0,0.0
Maryland,0.8974358974358975,0.09287257019438439,0.08297345928924871,0.3178266178266178,0.4333333333333333,0.23076923076923078,1.4864058316113111,-0.1319458319458322,0.02,0.0014996639786178719,0.21777777777777776,0.0,0.0
Massachusetts,1.0625,0.13527039139527933,0.13595808004052648,0.30098655202821867,0.3982951205173427,0.1875,3.3838055858316594,-0.01012270836994078,0.02,0.002123874971407395,0.245,0.0,0.0
Michigan,2.8520710059171597,-0.0008435390896602625,0.3095318600812819,0.4021816687806063,0.44712276970341486,0.5621301775147929,8.043357804526455,0.2584631466314825,0.32,0.26582440459639595,0.45818181818181813,0.032430658075663456,0.6
Minnesota,2.6713286713286712,0.009399413866196185,0.28530307720446274,0.41443062855360696,0.4081569881889764,0.5874125874125874,6.334502185238272,0.1620635389335362,0.32,0.2595433667510315,0.47040000000000004,0.045713769104746546,0.5666666666666667
Mississippi,2.1346153846153846,0.051823133611021824,0.28064353946707193,0.38141768843691914,0.5025641025641026,0.5769230769230769,2.4123994470338763,0.1439047856904998,0.16,0.108692589644328,0.3563636363636364,0.0038091998704243594,0.5
MontanaState,1.7619047619047619,-0.26151614073268065,0.3179857308777157,0.42656453995739696,0.4072562358276644,0.30952380952380953,3.181965184793389,0.08932880614395111,0.08,0.010715572592473006,0.29647058823529415,0.011621315192743762,0.16666666666666666
MU,3.4545454545454546,0.09716786466622483,0.35094914663880855,0.547528413418511,0.5201465201465202,0.7954545454545454,4.4506186074882015,-0.06937885825951362,0.3,0.24488534025162242,0.4302439024390244,0.07343733209146744,0.5714285714285714
Nebraska,3.623853211009174,-0.015404811084984406,0.34529108619324317,0.5133258441354558,0.45567711620730766,0.6972477064220184,4.474654288546149,0.02366648234853619,0.3,0.24491877762965136,0.441,0.026806454197431644,0.5619047619047619
Nevada,1.1111111111111112,0.5634920634920633,0.21906318082788678,0.4083333333333333,0.45090909090909087,0.3333333333333333,1.5343986928036162,-0.4279081133919843,0.02,0.0006649125465810113,0.20752941176470588,0.0,0.0
NewHampshire,0.0,,0.0,0.0,,0.0,,,0.0,5.812385956039157e-14,0.0,0.0,0.0
NewMexico,2.3,-0.1462330369677125,0.38034482758620647,0.49969365819365824,0.44333333333333336,0.6333333333333333,2.170020700870124,-0.13880649175386028,0.04,0.017143958329955144,0.30153846153846153,0.0035204081632653063,0.0
NorthCarolina,2.6289308176100628,0.0100807837981315,0.28216020107585765,0.37970372056360696,0.4622629393381566,0.3584905660377358,8.24317472907902,0.21499992429573023,0.32,0.26590227434060654,0.45230769230769224,0.020058835304807378,0.5833333333333334
NorthDakota,3.0,0.08163051207031093,0.3146386946386921,0.4746072313383975,0.4022738268021287,0.6666666666666666,2.90191066551327,-0.04339161481937559,0.1,0.042133080057327306,0.34252427184466017,0.010262948651777867,0.4
OhioState,1.0847457627118644,0.28457501192829393,0.1451740836603479,0.20064568200161423,0.46190476190476193,0.0847457627118644,3.0380264382398066,0.634454262804778,0.08,0.0642969710414169,0.3236697247706422,0.0003599257884972171,0.8333333333333334
OKState,1.32,0.0002398081534765928,0.20008940719144644,0.3521349206349207,0.43721488595438174,0.2,4.055198697948747,0.08863467407830761,0.04,0.01901050998594318,0.312212389380531,0.0653061224489796,0.0
Oregon,1.056338028169014,-0.021321889572210536,0.14252668971984853,0.2073105298457411,0.3889597505668934,0.07042253521126761,5.215488362005393,0.38861886095128084,0.1,0.03707839992156488,0.3563636363636364,0.013339488176222868,0.1
PennState,1.2702702702702702,0.2398189142834353,0.13900319105798678,0.30610545610545614,0.4119162640901772,0.1891891891891892,4.2805849794791895,0.03417686154029098,0.12,0.03480354848383304,0.36,0.0561366467999121,0.0
Purdue,2.034188034188034,-0.03047414257784634,0.27112191767363747,0.3264894989467639,0.49840397697540556,0.3504273504273504,7.329682743499425,0.3100787072307887,0.3,0.2299387101824211,0.43555555555555553,0.041269220158049374,0.49523809523809526
RhodeIsland,0.2,,0.1,0.0,1.0,0.0,,,0.0,5.812385956039157e-14,0.0,0.0,0.0
Rutgers,1.3414634146341464,0.02641773377811188,0.24488675958188116,0.2473819202477739,0.4049899193548387,0.2682926829268293,2.5835268261987947,0.3348715873509742,0.06,0.02295578901469794,0.3392307692307692,0.0071617505301715826,0.0
SouthDakota,1.6774193548387097,-0.06778672266946756,0.29605734767025116,0.23785202252944193,0.5474308300395256,0.2903225806451613,1.5019979966990284,0.4273235867883488,0.08,0.04326612088880407,0.3392307692307692,0.009464528668610299,0.5
TexasA&M,2.446280991735537,0.029950611455763863,0.27443755739211273,0.38906384303558267,0.5090107240307126,0.5867768595041323,6.01309857820301,0.1942656122958657,0.28,0.20902868084561851,0.41505882352941176,0.0415116308086233,0.45054945054945056
UArk,2.4545454545454546,-0.3307283594366559,0.34444634313054623,0.5881871075052892,0.45481670929241264,0.6363636363636364,6.479105012276068,-0.08912522185718041,0.16,0.13057458850246487,0.36371134020618556,0.0027054895218160523,0.6428571428571429
UCDavis,2.4465116279069767,0.12262523303869693,0.23499104749487404,0.3963326936457626,0.44241277847835225,0.5720930232558139,9.978241497098882,0.16719613366656538,0.3,0.23027221795108913,0.45818181818181813,0.08405954732700169,0.5047619047619047
UCRiver,1.3950617283950617,0.227911300214658,0.17449245541838462,0.24722147993752927,0.42743035262030005,0.12345679012345678,4.394617639144026,0.19979724116352482,0.1,0.027222796101644915,0.34252427184466017,0.042448979591836744,0.1
UtahState,0.9230769230769231,0.3875236294896023,0.07804768331084115,0.24442409442409443,0.5227272727272727,0.20512820512820512,1.22118435367154,-0.0832053453792585,0.0,5.812385956039157e-14,0.0,0.0,0.0
UTenn,2.6184210526315788,0.034624521714106814,0.32539849624059725,0.5553611136010925,0.423429073121786,0.6578947368421053,5.263309786492573,-0.18383970742686162,0.16,0.11199160326561022,0.38347826086956516,0.018406125620411332,0.4642857142857143
Vermont,0.6875,0.23255813953488483,0.1138888888888889,0.33333333333333337,0.5666666666666667,0.1875,1.44905175184828,0.4803921568627452,0.0,5.812385956039157e-14,0.0,0.0,0.0
VirginiaTech,1.7560975609756098,-0.027895604911343023,0.25500877054625964,0.3235050857002077,0.38472509776857605,0.3048780487804878,6.207687222431564,0.24059087672235568,0.18,0.11214964116278214,0.37136842105263157,0.01338159560930775,0.4166666666666667
WashState,3.4676258992805757,0.12967902652441726,0.3181057638361101,0.42385430841582455,0.42208294930875573,0.6762589928057554,4.926048509554894,0.17668078211735994,0.24,0.1894434519416629,0.42506024096385536,0.02288578619137158,0.5303030303030303
WestVirginia,0.5294117647058824,-0.08620689655172432,0.11213235294117646,0.0,0.5238095238095238,0.0,,1.136363636363636,0.0,5.812385956039157e-14,0.0,0.0,0.0
Wisconsin,1.9781021897810218,0.01799260807174137,0.229804756452449,0.4227576505678697,0.43724382408330564,0.2116788321167883,10.041914553743556,-0.014267457402121986,0.32,0.2727732818201139,0.4642105263157895,0.04951636417049951,0.625
Wyoming,0.8,-0.16387959866220683,0.2095238095238095,0.20555555555555557,0.5833333333333334,0.26666666666666666,2.381954523463957,0.3599867724867726,0.04,0.008522572078355736,0.2734883720930233,0.03346938775510204,0.0
