school,EdgesPerNode,assortativity_unweighted,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma_small_world_index,omega_small_world_index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering,pagerank
Idaho,0.75,-0.0710382513661209,0.1018518518518518,0.2726190476190476,0.5181818181818182,0.1428571428571428,1.8234939011076048,0.0315390749601277,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.0033936651583710412
Illinois,3.3125,0.1548248781592839,0.3102997076023457,0.4251525650753727,0.5206962025316455,0.65625,3.3871663423830287,0.1303296580256019,0.28,0.2445470956564093,0.4355555555555555,0.0173512394634843,0.6703296703296703,0.033148380014278014
IowaState,0.3644067796610169,0.13906079359301,0.016432813890441,0.1003833736884584,0.4319727891156462,0.0423728813559322,3.309866032874921,-0.0423698823361363,0.3,0.2629930753668734,0.441,0.0154046165077314,0.6571428571428571,0.034896081757320965
Kentucky,1.2075471698113207,-0.1458333333333333,0.1885099177551992,0.3229859239293202,0.5347847847847848,0.1320754716981132,3.895004525086777,0.2542224121306946,0.1,0.0838329091803161,0.3266666666666666,0.0008537414965986,0.8,0.014020138624726747
KState,3.828282828282828,-0.1568689647995285,0.3369717584003446,0.5965148088230582,0.4766382603585072,0.7676767676767676,4.83665536378087,-0.1887734089654646,0.3,0.2421792479429849,0.4642105263157895,0.1163292107701345,0.5619047619047619,0.03944820892814629
LouisianaState,1.137931034482759,-0.087836428124348,0.2229885057471266,0.3949096880131363,0.5305263157894736,0.1724137931034483,4.190321952104889,-0.1264880952380953,0.02,0.0027153289755237,0.2538129496402878,0.0,0.0,0.006871812852297982
Maine,0.9,-0.453416149068323,0.3833333333333333,0.1433333333333333,0.4910714285714285,0.3,0.7818181818181817,0.6843939393939396,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.0033936651583710412
Maryland,0.8974358974358975,0.0928725701943843,0.0829734592892487,0.3178266178266178,0.4333333333333333,0.2307692307692307,1.4864058316113111,-0.1319458319458322,0.02,0.0014996639786178,0.2177777777777777,0.0,0.0,0.00900543171218955
Massachusetts,1.0625,0.1352703913952793,0.1359580800405264,0.3009865520282186,0.3982951205173427,0.1875,3.38380558583166,-0.0101227083699407,0.02,0.0021238749714073,0.245,0.0,0.0,0.007002431325738011
Michigan,2.85207100591716,-0.0008435390896602,0.3095318600812819,0.4021816687806063,0.4471227697034148,0.5621301775147929,8.043357804526455,0.2584631466314825,0.32,0.2658244045963959,0.4581818181818181,0.0324306580756634,0.6,0.03828559181393846
Minnesota,2.6713286713286712,0.0093994138661961,0.2853030772044627,0.4144306285536069,0.4081569881889764,0.5874125874125874,6.334502185238272,0.1620635389335362,0.32,0.2595433667510315,0.4704,0.0457137691047465,0.5666666666666667,0.03889465675968218
Mississippi,2.1346153846153846,0.0518231336110218,0.2806435394670719,0.3814176884369191,0.5025641025641026,0.5769230769230769,2.4123994470338763,0.1439047856904998,0.16,0.108692589644328,0.3563636363636364,0.0038091998704243,0.5,0.020479253528852066
MontanaState,1.761904761904762,-0.2615161407326806,0.3179857308777157,0.4265645399573969,0.4072562358276644,0.3095238095238095,3.181965184793389,0.0893288061439511,0.08,0.010715572592473,0.2964705882352941,0.0116213151927437,0.1666666666666666,0.016576500888963074
MU,3.4545454545454546,0.0971678646662248,0.3509491466388085,0.547528413418511,0.5201465201465202,0.7954545454545454,4.4506186074882015,-0.0693788582595136,0.3,0.2448853402516224,0.4302439024390244,0.0734373320914674,0.5714285714285714,0.0380465691979949
Nebraska,3.623853211009174,-0.0154048110849844,0.3452910861932431,0.5133258441354558,0.4556771162073076,0.6972477064220184,4.474654288546149,0.0236664823485361,0.3,0.2449187776296513,0.441,0.0268064541974316,0.5619047619047619,0.03535628404676707
Nevada,1.1111111111111112,0.5634920634920633,0.2190631808278867,0.4083333333333333,0.4509090909090908,0.3333333333333333,1.5343986928036162,-0.4279081133919843,0.02,0.000664912546581,0.2075294117647058,0.0,0.0,0.009336785900327368
NewMexico,2.3,-0.1462330369677125,0.3803448275862064,0.4996936581936582,0.4433333333333333,0.6333333333333333,2.170020700870124,-0.1388064917538602,0.04,0.0171439583299551,0.3015384615384615,0.0035204081632653,0.0,0.009014546987831898
NorthCarolina,2.6289308176100628,0.0100807837981315,0.2821602010758576,0.3797037205636069,0.4622629393381566,0.3584905660377358,8.24317472907902,0.2149999242957302,0.32,0.2659022743406065,0.4523076923076922,0.0200588353048073,0.5833333333333334,0.03720941437242271
NorthDakota,3.0,0.0816305120703109,0.3146386946386921,0.4746072313383975,0.4022738268021287,0.6666666666666666,2.90191066551327,-0.0433916148193755,0.1,0.0421330800573273,0.3425242718446601,0.0102629486517778,0.4,0.01693025827865105
OhioState,1.0847457627118644,0.2845750119282939,0.1451740836603479,0.2006456820016142,0.4619047619047619,0.0847457627118644,3.0380264382398066,0.634454262804778,0.08,0.0642969710414169,0.3236697247706422,0.0003599257884972,0.8333333333333334,0.011899714348990051
OKState,1.32,0.0002398081534765,0.2000894071914464,0.3521349206349207,0.4372148859543817,0.2,4.055198697948747,0.0886346740783076,0.04,0.0190105099859431,0.312212389380531,0.0653061224489796,0.0,0.013674993838867094
Oregon,1.056338028169014,-0.0213218895722105,0.1425266897198485,0.2073105298457411,0.3889597505668934,0.0704225352112676,5.215488362005393,0.3886188609512808,0.1,0.0370783999215648,0.3563636363636364,0.0133394881762228,0.1,0.0166329841983677
PennState,1.2702702702702702,0.2398189142834353,0.1390031910579867,0.3061054561054561,0.4119162640901772,0.1891891891891892,4.2805849794791895,0.0341768615402909,0.12,0.034803548483833,0.36,0.0561366467999121,0.0,0.02455178457388732
Purdue,2.034188034188034,-0.0304741425778463,0.2711219176736374,0.3264894989467639,0.4984039769754055,0.3504273504273504,7.329682743499425,0.3100787072307887,0.3,0.2299387101824211,0.4355555555555555,0.0412692201580493,0.4952380952380952,0.03663861895548719
Rutgers,1.3414634146341464,0.0264177337781118,0.2448867595818811,0.2473819202477739,0.4049899193548387,0.2682926829268293,2.5835268261987947,0.3348715873509742,0.06,0.0229557890146979,0.3392307692307692,0.0071617505301715,0.0,0.011906174878020022
SouthDakota,1.6774193548387095,-0.0677867226694675,0.2960573476702511,0.2378520225294419,0.5474308300395256,0.2903225806451613,1.5019979966990284,0.4273235867883488,0.08,0.043266120888804,0.3392307692307692,0.0094645286686102,0.5,0.014095649871558855
TexasA&M,2.446280991735537,0.0299506114557638,0.2744375573921127,0.3890638430355826,0.5090107240307126,0.5867768595041323,6.01309857820301,0.1942656122958657,0.28,0.2090286808456185,0.4150588235294117,0.0415116308086233,0.4505494505494505,0.03456234419951216
UArk,2.4545454545454546,-0.3307283594366559,0.3444463431305462,0.5881871075052892,0.4548167092924126,0.6363636363636364,6.479105012276068,-0.0891252218571804,0.16,0.1305745885024648,0.3637113402061855,0.002705489521816,0.6428571428571429,0.02006855686568447
UCDavis,2.4465116279069767,0.1226252330386969,0.234991047494874,0.3963326936457626,0.4424127784783522,0.5720930232558139,9.978241497098882,0.1671961336665653,0.3,0.2302722179510891,0.4581818181818181,0.0840595473270016,0.5047619047619047,0.03897061202831453
UCRiver,1.3950617283950617,0.227911300214658,0.1744924554183846,0.2472214799375292,0.4274303526203,0.1234567901234567,4.394617639144026,0.1997972411635248,0.1,0.0272227961016449,0.3425242718446601,0.0424489795918367,0.1,0.021228288601815564
UtahState,0.9230769230769232,0.3875236294896023,0.0780476833108411,0.2444240944240944,0.5227272727272727,0.2051282051282051,1.22118435367154,-0.0832053453792585,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.0033936651583710412
UTenn,2.6184210526315788,0.0346245217141068,0.3253984962405972,0.5553611136010925,0.423429073121786,0.6578947368421053,5.263309786492573,-0.1838397074268616,0.16,0.1119916032656102,0.3834782608695651,0.0184061256204113,0.4642857142857143,0.021602892836389644
Vermont,0.6875,0.2325581395348848,0.1138888888888889,0.3333333333333333,0.5666666666666667,0.1875,1.44905175184828,0.4803921568627452,0.0,5.812385956039158e-14,0.0,0.0,0.0,0.0033936651583710412
VirginiaTech,1.7560975609756098,-0.027895604911343,0.2550087705462596,0.3235050857002077,0.384725097768576,0.3048780487804878,6.207687222431564,0.2405908767223556,0.18,0.1121496411627821,0.3713684210526315,0.0133815956093077,0.4166666666666667,0.023390170959582655
WashState,3.467625899280576,0.1296790265244172,0.3181057638361101,0.4238543084158245,0.4220829493087557,0.6762589928057554,4.926048509554894,0.1766807821173599,0.24,0.1894434519416629,0.4250602409638553,0.0228857861913715,0.5303030303030303,0.029998478865590764
Wisconsin,1.9781021897810216,0.0179926080717413,0.229804756452449,0.4227576505678697,0.4372438240833056,0.2116788321167883,10.041914553743556,-0.0142674574021219,0.32,0.2727732818201139,0.4642105263157895,0.0495163641704995,0.625,0.03824258515725383
Wyoming,0.8,-0.1638795986622068,0.2095238095238095,0.2055555555555555,0.5833333333333334,0.2666666666666666,2.381954523463957,0.3599867724867726,0.04,0.0085225720783557,0.2734883720930233,0.033469387755102,0.0,0.013984201184828906
