,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Pfleger, Brian F",93,88,5,3,9,9,0,0
"Popova, Inna",10,10,0,0,1,1,0,0
"Ramstein, Guillaume P",8,0,8,3,0,0,0,0
"Rattunde, Henry Frederick W",3,3,0,0,0,0,0,0
"Rayment, Ivan",24,24,0,0,0,0,0,0
"RodriguezBonilla, Lorraine",9,0,9,4,0,0,0,0
"Sedbrook, John C",9,0,9,7,0,0,0,0
"Silva, Tatiane Severo",9,1,8,2,0,0,0,0
"Smith, Rebecca A",24,1,23,7,0,0,0,0
"Sripathi, Raghuveer",3,0,3,1,0,0,0,0
"Toczydlowski, Rachel H",7,7,0,0,0,0,0,0
"Venkateshwaran, Muthusubramanian",11,1,10,4,0,0,0,0
"Wang, Tina",10,9,1,1,1,1,0,0
"Wang, Yuhui",18,2,16,3,0,0,0,0
"Wang, Zhihui",19,16,3,1,0,0,0,0
"Wiedenhoeft, Alex C",24,12,12,2,0,0,0,0
