,Alaska,Arizona,Auburn,Clemson,ColoradoState,Connecticut,Cornell,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,IowaState,KState,Kentucky,LouisianaState,MU,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,MontanaState,Nebraska,Nevada,NewHampshire,NewMexico,NorthCarolina,NorthDakota,OKState,OhioState,Oregon,PennState,Purdue,RhodeIsland,Rutgers,SouthDakota,TexasA&M,UArk,UCDavis,UCRiver,UTenn,UtahState,Vermont,VirginiaTech,WashState,WestVirginia,Wisconsin,Wyoming
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,39,0,0,0,0,103,37,46,0,57,0,0,0,74,54,0,0,87,0,0,0,55,0,0,30,0,0,81,0,0,0,43,0,34,0,0,0,0,0,0,0,68,0
IowaState,0,0,0,0,0,0,0,0,40,73,0,0,103,0,53,48,0,92,0,0,0,96,108,44,0,101,0,0,0,54,0,0,0,0,0,84,0,0,0,0,0,70,0,0,0,0,0,36,0,95,0
KState,0,0,0,0,61,0,0,0,77,0,0,0,37,53,0,0,0,0,0,0,0,51,87,0,0,102,0,0,0,48,0,57,0,0,0,88,0,0,29,43,0,47,0,0,0,0,0,45,0,34,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
LouisianaState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,0,48,41,101,0,0,57,92,0,0,0,0,0,0,0,96,45,0,0,73,0,0,0,52,0,0,0,0,0,57,0,0,0,0,111,53,0,43,0,0,34,0,0,67,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Michigan,0,44,0,0,45,0,0,0,101,96,0,0,74,96,51,0,0,96,0,0,0,0,105,0,0,42,0,0,0,96,0,0,36,0,0,97,0,0,0,0,0,78,0,0,0,0,0,102,0,200,0
Minnesota,0,0,0,0,36,0,0,0,0,54,0,0,54,108,87,0,0,45,0,0,0,105,0,0,0,81,0,0,0,71,78,0,0,0,0,98,0,0,38,33,0,55,0,0,0,0,0,44,0,136,0
Mississippi,0,0,32,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,35,43,0,0,27,0,0,20,0,0,0,0
MontanaState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,78,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,35,0,0,0,52,0,0,0,87,101,102,0,0,73,0,0,0,42,81,29,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,42,31,0,0,0,0,0,34,28,0,89,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
NewHampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewMexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
NorthCarolina,0,0,0,82,0,0,0,0,142,115,0,0,55,54,48,0,0,52,0,0,0,96,71,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,71,63,69,0,78,0,0,76,0,0,105,0
NorthDakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,19,0,0,0,0,0,0,0,0,12,0,0,0,0,25,0,0,0,0,0,0,0,0,60,0,0,0
OKState,0,0,0,0,0,0,0,0,0,0,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhioState,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,23,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,45,0,0,0
PennState,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,29,0
Purdue,0,0,0,0,0,0,0,0,0,34,0,0,81,84,88,28,0,57,0,0,0,97,98,0,0,54,0,0,0,136,0,0,27,0,0,0,0,36,0,0,41,0,0,34,0,0,0,0,0,99,0
RhodeIsland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
SouthDakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,38,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TexasA&M,0,0,0,37,0,0,0,0,46,50,0,0,43,0,43,0,0,0,0,0,0,0,33,35,0,42,0,0,42,71,0,0,0,0,0,0,0,0,0,0,56,0,0,47,0,0,0,41,0,42,0
UArk,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,111,0,0,0,0,0,43,0,31,0,0,0,63,0,0,0,0,0,41,0,0,0,56,0,0,0,0,0,0,32,0,0,0,0
UCDavis,0,27,0,0,36,0,28,0,90,60,0,0,34,70,47,0,0,53,0,0,0,78,55,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,47,0,53,0
UCRiver,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,86,0,0,0,0,0,0,0,0,0
UTenn,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,43,0,0,0,0,0,27,0,0,0,0,0,78,0,0,0,0,23,34,0,0,0,47,0,0,0,0,0,0,23,0,0,0,0
UtahState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VirginiaTech,0,0,36,0,0,0,0,0,0,28,0,0,0,0,0,0,0,34,0,0,0,0,0,20,0,34,0,0,0,76,0,0,0,20,0,0,0,0,0,0,32,0,0,23,0,0,0,0,0,0,0
WashState,0,0,0,63,0,0,0,0,46,0,0,0,0,36,45,0,0,0,0,0,0,102,44,0,0,28,0,0,0,0,60,0,0,45,0,0,0,0,0,41,0,47,0,0,0,0,0,0,0,29,0
WestVirginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,55,62,0,0,68,95,34,28,0,67,0,0,0,200,136,0,0,89,0,0,0,105,0,0,0,0,29,99,0,0,0,42,0,53,0,0,0,0,0,29,0,0,0
Wyoming,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
